ship_id,VOYAGE,NOON_UTC,AVG_SPEED,SPEED_THROUGH_WATER,ME_AVG_RPM,PROPELLER_SPEED,FORE_DRAFT,AFTER_DRAFT,DISPLACEMENT,CARGO_ON_BOARD,WIND_SCALE,SEA_HEIGHT,SEA_WATER_TEMP,WIND_SPEED,WIND_DIRECTION,SWELL_HEIGHT,SWELL_DIRECTION,SEA_DIRECTION,WATER_DEPTH,MID_DRAFT,TOTAL_DISTANCE,SEA_SPEED_DISTANCE,DIFF_STW_SOG_SLIP,FULL_SPD_STW_SLIP,HORSE_POWER,LOAD_PCT,SFOC,ME_SLIP,THRUST,THRUST_QUOTIENT,TOTAL_CONSUMP,ME_CONSUMPTION,ME_FULLSPEED_CONSUMP_HSHFO,ME_FULLSPEED_CONSUMP_ULSFO,ME_FULLSPEED_CONSUMP_VLSFO,ME_FULLSPEED_CONSUMP_LSMGO,ME_FULLSPEED_CONSUMP_BIO_HSFO,HOURS_FULL_SPEED,HOURS_TOTAL,event_type_code,propeller_condition_code,hull_fouling_type,hull_coating_condition_code,cavitation_code,DAYS_SINCE_LAST_MAINT,DAYS_TO_NEXT_MAINT,LAST_MAINT_TYPE,LAST_MAINT_TYPE_NAME,IS_MAINT_WINDOW,PROPELLER_STATE,HULL_STATE,MAINT_TYPE_PP,MAINT_TYPE_UWI,MAINT_TYPE_UWI+PP,MAINT_TYPE_UWC,MAINT_TYPE_UWC+PP,MAINT_TYPE_DD
S1,28,22,12.4,13.04,48.5,15.54,10.3,11.4,,53497.0,6.0,,,,2.0,,,,120.0,,284.0,284.0,,,12576.0,,,20.56,1881.0,,57.71,,0.0,0.0,48.51,0.0,,23.0,23.0,,,,,,1825.0,959.0,,,0,3.0,,0,0,0,0,0,0
S1,28,22,12.4,13.04,48.5,15.54,10.3,11.4,,53497.0,6.0,,,,2.0,,,,120.0,,284.0,284.0,,,12576.0,,,20.56,1881.0,,57.71,,0.0,0.0,48.51,0.0,,23.0,23.0,,,,,,1825.0,959.0,,,0,3.0,,0,0,0,0,0,0
S1,28,23,10.6,7.9,41.8,13.4,10.3,11.4,,53497.0,4.0,,,,3.0,,,,17.2,,148.0,132.0,,,8983.0,,,21.17,0.0,,35.38,,0.0,0.0,20.76,0.0,,12.5,24.0,,,,,,1825.0,958.0,,,0,3.0,,0,0,0,0,0,0
S1,29,24,11.3,12.0,36.4,11.7,10.2,11.1,,50462.0,7.0,,,,0.0,,,,104.0,,93.0,85.0,,,4778.0,,,3.13,1240.0,,18.77,,0.0,0.0,6.95,0.0,,7.5,24.0,,,,,,1825.0,957.0,,,0,3.0,,0,0,0,0,0,0
S1,29,25,11.4,11.68,37.5,12.02,10.2,11.1,,50462.0,5.0,,,,2.0,,,,53.0,,284.0,284.0,,,5148.0,,,5.52,1029.0,,36.65,,0.0,0.0,26.69,0.0,,25.0,25.0,,,,,,1825.0,956.0,,,0,3.0,,0,0,0,0,0,0
S1,29,26,22.2,10.34,70.6,22.6,10.2,11.0,,0.0,4.0,,,,14.0,,,,14.4,,162.0,111.0,,,0.0,,,1.769911504,0.0,,32.99,,0.0,0.0,5.82,0.0,,5.0,24.0,,,,,,1825.0,955.0,,,0,3.0,,0,0,0,0,0,0
S1,29,27,8.0,12.0,37.1,11.87,11.2,12.0,,62672.0,4.0,,,,2.0,,,,73.0,,40.0,4.0,,,5293.0,,,32.59,880.0,,18.72,,0.0,0.0,0.3,0.0,,0.5,24.0,,,,,,1825.0,954.0,,,0,3.0,,0,0,0,0,0,0
S1,29,28,12.4,9.88,43.8,14.04,11.2,12.0,,62672.0,4.0,,,,8.0,,,,38.0,,74.0,68.0,,,10458.0,,,11.94,0.0,,23.6,,0.0,0.0,11.54,0.0,,5.5,24.0,,,,,,1825.0,953.0,,,0,3.0,,0,0,0,0,0,0
S1,29,33,18.8,20.14,66.1,21.17,12.2,12.9,,75754.0,5.0,,,,2.0,,,,74.0,,290.0,273.0,,,29178.0,,,11.08,2534.0,,81.93,,0.0,0.0,71.0,0.0,,14.5,24.0,,,,,,1825.0,948.0,,,0,3.0,,0,0,0,0,0,0
S1,29,34,13.1,13.63,44.2,14.14,12.2,12.9,,75754.0,4.0,,,,2.0,,,,42.0,,314.0,314.0,,,8618.0,,,7.48,942.0,,45.91,,0.0,0.0,38.13,0.0,,24.0,24.0,,,,,,1825.0,947.0,,,0,3.0,,0,0,0,0,0,0
S1,29,35,11.4,11.85,37.2,11.9,12.2,12.9,,75754.0,3.0,,,,1.0,,,,59.0,,228.0,228.0,,,5073.0,,,4.21,0.0,,33.4,,0.0,0.0,24.7,0.0,,20.0,24.0,,,,,,1825.0,946.0,,,0,3.0,,0,0,0,0,0,0
S1,29,36,8.7,0.0,33.2,10.63,0.0,0.0,,0.0,2.0,,,,10.0,,,,0.0,,60.0,40.0,,,4062.0,,,18.18528038,0.0,,19.88,,0.0,0.0,4.5,0.0,,4.6,24.0,,,,,,1825.0,945.0,,,0,3.0,,0,0,0,0,0,0
S1,29,38,12.7,12.96,43.6,13.97,13.4,14.6,,96563.0,4.0,,,,2.0,,,,1800.0,,304.0,304.0,,,9832.0,,,9.31,1030.0,,55.8,,0.0,0.0,46.44,0.0,,24.0,24.0,,,,,,1825.0,943.0,,,0,3.0,,0,0,0,0,0,0
S1,29,39,12.6,12.96,44.0,14.1,13.4,14.6,,96563.0,5.0,,,,15.0,,,,2000.0,,302.0,302.0,,,7857.0,,,10.73,969.0,,45.96,,0.0,0.0,36.74,0.0,,24.0,24.0,,,,,,1825.0,942.0,,,0,3.0,,0,0,0,0,0,0
S1,29,40,12.6,12.25,40.6,12.99,13.4,14.6,,96563.0,5.0,,,,2.0,,,,103.0,,302.0,302.0,,,6391.0,,,3.13,860.0,,41.52,,0.0,0.0,30.63,0.0,,24.0,24.0,,,,,,1825.0,941.0,,,0,3.0,,0,0,0,0,0,0
S1,29,41,13.0,12.75,42.5,13.6,13.3,14.6,,96563.0,4.0,,,,2.0,,,,69.0,,311.0,311.0,,,7298.0,,,4.75,1015.0,,43.01,,0.0,0.0,33.58,0.0,,24.0,24.0,,,,,,1825.0,940.0,,,0,3.0,,0,0,0,0,0,0
S1,29,42,10.8,5.0,25.7,12.35,13.3,14.6,,96563.0,3.0,,,,2.0,,,,35.0,,248.0,238.0,,,2700.0,,,12.37,0.0,,37.56,,0.0,0.0,26.2,0.0,,22.0,24.0,,,,,,1825.0,939.0,,,0,3.0,,0,0,0,0,0,0
S1,29,44,10.9,11.0,38.0,12.18,14.8,15.7,,114603.0,3.0,,,,8.0,,,,31.5,,216.0,207.0,,,5572.0,,,10.53,804.0,,37.09,,0.0,0.0,23.09,0.0,,19.0,24.0,,,,,,1825.0,937.0,,,0,3.0,,0,0,0,0,0,0
S1,29,45,10.6,10.64,37.3,11.94,15.4,15.4,,114603.0,3.0,,,,4.0,,,,490.0,,266.0,266.0,,,5174.0,,,10.91,651.0,,41.51,,0.0,0.0,29.87,0.0,,25.0,25.0,,,,,,1825.0,936.0,,,0,3.0,,0,0,0,0,0,0
S1,29,46,11.9,11.17,37.8,12.09,15.4,15.4,,114603.0,4.0,,,,2.0,,,,4300.0,,285.0,285.0,,,5165.0,,,1.79,585.0,,40.23,,0.0,0.0,27.48,0.0,,24.0,24.0,,,,,,1825.0,935.0,,,0,3.0,,0,0,0,0,0,0
S1,29,47,11.7,11.12,37.8,12.1,15.4,15.4,,114603.0,4.0,,,,4.0,,,,3800.0,,293.0,293.0,,,5183.0,,,3.16,590.0,,41.75,,0.0,0.0,28.59,0.0,,25.0,25.0,,,,,,1825.0,934.0,,,0,3.0,,0,0,0,0,0,0
S1,29,48,10.8,11.04,37.8,12.1,15.4,15.4,,114603.0,2.0,,,,2.0,,,,4000.0,,258.0,258.0,,,5176.0,,,11.17,624.0,,39.83,,0.0,0.0,27.34,0.0,,24.0,24.0,,,,,,1825.0,933.0,,,0,3.0,,0,0,0,0,0,0
S1,29,49,11.5,11.17,38.2,12.23,15.4,15.4,,114603.0,4.0,,,,5.0,,,,3800.0,,276.0,276.0,,,5280.0,,,6.0,592.0,,38.49,,0.0,0.0,27.71,0.0,,24.0,24.0,,,,,,1825.0,932.0,,,0,3.0,,0,0,0,0,0,0
S1,29,50,11.2,11.64,38.0,12.18,15.4,15.4,,114603.0,2.0,,,,13.0,,,,2700.0,,280.0,280.0,,,5347.0,,,8.06,640.0,,40.05,,0.0,0.0,29.09,0.0,,25.0,25.0,,,,,,1825.0,931.0,,,0,3.0,,0,0,0,0,0,0
S1,29,51,10.8,11.08,38.3,12.25,15.4,15.4,,114603.0,3.0,,,,7.0,,,,3200.0,,259.0,259.0,,,5415.0,,,11.91,634.0,,38.34,,0.0,0.0,27.87,0.0,,24.0,24.0,,,,,,1825.0,930.0,,,0,3.0,,0,0,0,0,0,0
S1,29,52,10.4,11.21,38.3,12.25,15.4,15.4,,114603.0,3.0,,,,4.0,,,,4300.0,,249.0,249.0,,,5413.0,,,15.31,622.0,,38.42,,0.0,0.0,27.94,0.0,,24.0,24.0,,,,,,1825.0,929.0,,,0,3.0,,0,0,0,0,0,0
S1,29,53,11.2,11.44,38.7,12.4,15.4,15.4,,114603.0,4.0,,,,3.0,,,,4300.0,,281.0,281.0,,,5663.0,,,9.35,817.0,,40.71,,0.0,0.0,29.71,0.0,,25.0,25.0,,,,,,1825.0,928.0,,,0,3.0,,0,0,0,0,0,0
S1,29,54,12.4,12.42,41.9,13.43,15.4,15.4,,114603.0,1.0,,,,0.0,,,,3800.0,,297.0,297.0,,,7188.0,,,7.89,818.0,,41.9,,0.0,0.0,32.06,0.0,,24.0,24.0,,,,,,1825.0,927.0,,,0,3.0,,0,0,0,0,0,0
S1,29,55,12.3,12.79,43.8,14.03,15.3,15.4,,114603.0,2.0,,,,1.0,,,,5300.0,,296.0,296.0,,,8221.0,,,12.12,926.0,,46.67,,0.0,0.0,36.63,0.0,,24.0,24.0,,,,,,1825.0,926.0,,,0,3.0,,0,0,0,0,0,0
S1,29,56,13.3,13.17,45.2,14.46,15.4,15.4,,114603.0,4.0,,,,4.0,,,,1100.0,,319.0,319.0,,,8834.0,,,8.11,1006.0,,49.06,,0.0,0.0,39.01,0.0,,24.0,24.0,,,,,,1825.0,925.0,,,0,3.0,,0,0,0,0,0,0
S1,29,58,13.3,13.16,44.7,14.33,15.4,15.4,,114603.0,5.0,,,,7.0,,,,51.0,,333.0,333.0,,,8649.0,,,7.02,914.0,,50.53,,0.0,0.0,39.99,0.0,,25.0,25.0,,,,,,1825.0,923.0,,,0,3.0,,0,0,0,0,0,0
S1,29,59,12.8,12.83,44.6,14.3,15.4,15.4,,114603.0,6.0,,,,14.0,,,,489.0,,308.0,308.0,,,9084.0,,,10.25,1074.0,,50.48,,0.0,0.0,40.34,0.0,,24.0,24.0,,,,,,1825.0,922.0,,,0,3.0,,0,0,0,0,0,0
S1,29,60,15.3,9.87,56.7,18.2,15.4,15.4,,114603.0,5.0,,,,14.0,,,,19.0,,182.0,168.0,,,19951.0,,,16.08,0.0,,52.05,,0.0,0.0,39.08,0.0,,11.0,24.0,,,,,,1825.0,921.0,,,0,3.0,,0,0,0,0,0,0
S1,29,61,13.3,13.41,47.5,15.21,14.8,14.8,,107918.0,5.0,,,,14.0,,,,600.0,,181.0,179.0,,,11274.0,,,12.82,1624.0,,39.48,,0.0,0.0,27.78,0.0,,13.5,24.0,,,,,,1825.0,920.0,,,0,3.0,,0,0,0,0,0,0
S1,29,62,13.3,13.52,49.8,15.95,14.8,14.8,,107918.0,6.0,,,,14.0,,,,89.0,,332.0,332.0,,,13369.0,,,16.72,1678.0,,70.02,,0.0,0.0,60.02,0.0,,25.0,25.0,,,,,,1825.0,919.0,,,0,3.0,,0,0,0,0,0,0
S1,29,63,13.1,6.97,47.4,15.18,14.8,14.8,,107918.0,1.0,,,,0.0,,,,29.0,,152.0,105.0,,,11372.0,,,13.53462234,0.0,,35.17,,0.0,0.0,16.85,0.0,,8.0,24.0,,,,,,1825.0,918.0,,,0,3.0,,0,0,0,0,0,0
S1,29,64,9.6,7.28,36.9,11.83,14.8,14.8,,107918.0,2.0,,,,15.0,,,,16.5,,192.0,129.0,,,5373.0,,,19.25,0.0,,36.25,,0.0,0.0,16.16,0.0,,13.5,24.0,,,,,,1825.0,917.0,,,0,3.0,,0,0,0,0,0,0
S1,29,67,16.0,16.73,56.5,18.1,12.7,13.6,,86539.0,4.0,,,,5.0,,,,3500.0,,355.0,352.0,,,20226.0,,,11.58,2166.0,,77.37,,0.0,0.0,68.62,0.0,,22.0,24.0,,,,,,1825.0,914.0,,,0,3.0,,0,0,0,0,0,0
S1,29,68,14.2,14.74,48.6,15.57,12.7,13.6,,86539.0,3.0,,,,2.0,,,,110.0,,327.0,327.0,,,13830.0,,,8.69,1535.0,,57.47,,0.0,0.0,49.66,0.0,,23.0,23.0,,,,,,1825.0,913.0,,,0,3.0,,0,0,0,0,0,0
S1,29,69,11.3,7.61,43.6,14.0,0.0,0.0,,0.0,6.0,,,,2.0,,,,19.5,,180.0,175.0,,,11308.0,,,19.35,0.0,,39.57,,0.0,0.0,28.82,0.0,,15.5,24.0,,,,,,1825.0,912.0,,,0,3.0,,0,0,0,0,0,0
S1,29,71,10.0,10.0,35.2,11.29,12.3,12.3,,71526.0,3.0,,,,12.0,,,,19.4,,57.0,22.0,,,5662.0,,,11.42,0.0,,15.5,,0.0,0.0,2.52,0.0,,2.2,24.0,,,,,,1825.0,910.0,,,0,3.0,,0,0,0,0,0,0
S1,29,73,4.3,5.03,0.0,12.2,13.3,13.3,,85574.0,3.0,,,,2.0,,,,77.0,,111.0,80.0,,,0.0,,,64.55,0.0,,23.12,,0.0,0.0,10.72,0.0,,18.5,24.0,,,,,,1825.0,908.0,,,0,3.0,,0,0,0,0,0,0
S1,29,74,11.8,8.83,42.3,13.54,13.3,13.3,,85574.0,4.0,,,,11.0,,,,27.0,,202.0,188.0,,,0.0,,,13.24,0.0,,36.92,,0.0,0.0,26.55,0.0,,16.0,24.0,,,,,,1825.0,907.0,,,0,3.0,,0,0,0,0,0,0
S1,29,76,10.3,10.9,36.8,11.79,13.35,13.9,,92524.0,3.0,,,,13.0,,,,590.0,,143.0,138.0,,,6476.0,,,12.68,1045.0,,25.65,,0.0,0.0,15.06,0.0,,13.4,24.0,,,,,,1825.0,905.0,,,0,3.0,,0,0,0,0,0,0
S1,29,77,10.9,11.54,38.0,12.17,13.35,13.9,,92524.0,4.0,,,,11.0,,,,2350.0,,261.0,261.0,,,6587.0,,,10.63,940.0,,39.91,,0.0,0.0,30.2,0.0,,24.0,24.0,,,,,,1825.0,904.0,,,0,3.0,,0,0,0,0,0,0
S1,29,78,9.3,9.63,37.8,12.1,12.7,13.87,,92524.0,3.0,,,,2.0,,,,175.0,,222.0,222.0,,,6487.0,,,23.58,0.0,,34.29,,0.0,0.0,24.85,0.0,,24.0,24.0,,,,,,1825.0,903.0,,,0,3.0,,0,0,0,0,0,0
S1,29,79,1.8,2.23,37.8,12.11,0.0,0.0,,0.0,3.0,,,,9.0,,,,17.5,,28.0,20.0,,,9317.0,,,85.38,0.0,,13.79,,0.0,0.0,2.74,0.0,,11.3,24.0,,,,,,1825.0,902.0,,,0,3.0,,0,0,0,0,0,0
S1,29,80,18.2,17.16,54.0,17.31,14.4,14.64,,108909.0,6.0,,,,12.0,,,,1350.0,,234.0,226.0,,,17377.0,,,-5.3,2213.0,,50.94,,0.0,0.0,39.02,0.0,,12.4,23.0,,,,,,1825.0,901.0,,,0,3.0,,0,0,0,0,0,0
S1,29,80,18.2,17.16,54.0,17.31,14.4,14.64,,108909.0,6.0,,,,12.0,,,,1350.0,,234.0,226.0,,,17377.0,,,-5.3,2213.0,,50.94,,0.0,0.0,39.02,0.0,,12.4,23.0,,,,,,1825.0,901.0,,,0,3.0,,0,0,0,0,0,0
S1,29,81,12.6,7.43,44.2,14.14,14.4,14.64,,108909.0,6.0,,,,13.0,,,,22.5,,191.0,122.0,,,10673.0,,,11.08,0.0,,39.32,,0.0,0.0,16.72,0.0,,9.7,24.0,,,,,,1825.0,900.0,,,0,3.0,,0,0,0,0,0,0
S1,29,88,17.1,16.52,56.7,18.17,14.6,14.6,,108909.0,5.0,,,,15.0,,,,800.0,,273.0,231.0,,,20034.0,,,5.83,1073.0,,63.38,,0.0,0.0,47.53,0.0,,13.5,24.0,,,,,,1825.0,893.0,,,0,3.0,,0,0,0,0,0,0
S1,29,89,11.1,10.54,38.1,12.19,14.6,14.6,,108909.0,5.0,,,,14.0,,,,840.0,,255.0,255.0,,,5231.0,,,9.03,880.0,,36.4,,0.0,0.0,24.76,0.0,,23.0,23.0,,,,,,1825.0,892.0,,,0,3.0,,0,0,0,0,0,0
S1,29,89,11.1,10.54,38.1,12.19,14.6,14.6,,108909.0,5.0,,,,14.0,,,,840.0,,255.0,255.0,,,5231.0,,,9.03,880.0,,36.4,,0.0,0.0,24.76,0.0,,23.0,23.0,,,,,,1825.0,892.0,,,0,3.0,,0,0,0,0,0,0
S1,29,90,11.4,6.61,38.0,12.17,14.7,14.8,,0.0,5.0,,,,14.0,,,,18.5,,139.0,128.0,,,5221.0,,,6.11,0.0,,27.33,,0.0,0.0,12.32,0.0,,11.2,24.0,,,,,,1825.0,891.0,,,0,3.0,,0,0,0,0,0,0
S1,29,90,11.4,6.61,38.0,12.17,0.0,0.0,,0.0,5.0,,,,14.0,,,,18.5,,139.0,128.0,,,5221.0,,,6.11,0.0,,27.33,,0.0,0.0,12.32,0.0,,11.2,24.0,,,,,,1825.0,891.0,,,0,3.0,,0,0,0,0,0,0
S1,29,91,18.6,18.42,63.1,20.2,15.0,15.0,,108109.0,4.0,,,,14.0,,,,1350.0,,313.0,307.0,,,23780.0,,,7.88,2212.0,,78.77,,0.0,0.0,67.26,0.0,,16.5,24.0,,,,,,1825.0,890.0,,,0,3.0,,0,0,0,0,0,0
S1,29,92,17.9,16.75,63.1,20.2,15.0,15.0,,108109.0,4.0,,,,14.0,,,,525.0,,429.0,429.0,,,24028.0,,,11.51,2134.0,,102.04,,0.0,0.0,93.55,0.0,,24.0,24.0,,,,,,1825.0,889.0,,,0,3.0,,0,0,0,0,0,0
S1,29,92,18.8,18.91,65.4,20.96,15.0,15.0,,108109.0,3.0,,,,9.0,,,,1400.0,,432.0,432.0,,,26545.0,,,10.4,2160.0,,110.59,,0.0,0.0,100.78,0.0,,23.0,23.0,,,,,,1825.0,889.0,,,0,3.0,,0,0,0,0,0,0
S1,29,93,18.9,18.79,64.6,20.69,15.0,15.0,,108109.0,2.0,,,,1.0,,,,4000.0,,454.0,454.0,,,26075.0,,,8.56,2133.0,,112.15,,0.0,0.0,102.49,0.0,,24.0,24.0,,,,,,1825.0,888.0,,,0,3.0,,0,0,0,0,0,0
S1,29,94,18.7,18.65,64.5,20.66,14.4,14.7,,108109.0,5.0,,,,0.0,,,,4200.0,,429.0,429.0,,,25974.0,,,9.71,2160.0,,106.75,,0.0,0.0,97.5,0.0,,23.0,23.0,,,,,,1825.0,887.0,,,0,3.0,,0,0,0,0,0,0
S1,29,95,18.1,18.33,63.2,20.23,14.4,14.6,,108109.0,3.0,,,,13.0,,,,2600.0,,435.0,435.0,,,24182.0,,,10.39,1992.0,,106.97,,0.0,0.0,97.04,0.0,,24.0,24.0,,,,,,1825.0,886.0,,,0,3.0,,0,0,0,0,0,0
