De-identification Name,VOYAGE,NOON_UTC,AVG_SPEED,SPEED_THROUGH_WATER,ME_AVG_RPM,PROPELLER_SPEED,FORE_DRAFT,AFTER_DRAFT,DISPLACEMENT,CARGO_ON_BOARD,WIND_SCALE,SEA_HEIGHT,SEA_WATER_TEMP,WIND_SPEED,WIND_DIRECTION,SWELL_HEIGHT,SWELL_DIRECTION,SEA_DIRECTION,WATER_DEPTH,MID_DRAFT,TOTAL_DISTANCE,SEA_SPEED_DISTANCE,DIFF_STW_SOG_SLIP,FULL_SPD_STW_SLIP,HORSE_POWER,LOAD_PCT,SFOC,ME_SLIP,THRUST,THRUST_QUOTIENT,TOTAL_CONSUMP,ME_CONSUMPTION,ME_FULLSPEED_CONSUMP_HSHFO,ME_FULLSPEED_CONSUMP_ULSFO,ME_FULLSPEED_CONSUMP_VLSFO,ME_FULLSPEED_CONSUMP_LSMGO,ME_FULLSPEED_CONSUMP_BIO_HSFO,HOURS_FULL_SPEED,HOURS_TOTAL,SPEED_LOSS
S1,29,51,10.8,11.08,38.3,12.25,15.4,15.4,,114603,3,,,,7,,,,3200,,259,259,,,5415,,,11.91,634,,38.34,,0,0,27.87,0,,24,24,28.27
S1,29,52,10.4,11.21,38.3,12.25,15.4,15.4,,114603,3,,,,4,,,,4300,,249,249,,,5413,,,15.31,622,,38.42,,0,0,27.94,0,,24,24,27.34
S1,29,53,11.2,11.44,38.7,12.4,15.4,15.4,,114603,4,,,,3,,,,4300,,281,281,,,5663,,,9.35,817,,40.71,,0,0,29.71,0,,25,25,25.68
S1,29,54,12.4,12.42,41.9,13.43,15.4,15.4,,114603,1,,,,0,,,,3800,,297,297,,,7188,,,7.89,818,,41.9,,0,0,32.06,0,,24,24,18.63
S1,29,55,12.3,12.79,43.8,14.03,15.3,15.4,,114603,2,,,,1,,,,5300,,296,296,,,8221,,,12.12,926,,46.67,,0,0,36.63,0,,24,24,15.99
S1,29,56,13.3,13.17,45.2,14.46,15.4,15.4,,114603,4,,,,4,,,,1100,,319,319,,,8834,,,8.11,1006,,49.06,,0,0,39.01,0,,24,24,13.24
S1,29,58,13.3,13.16,44.7,14.33,15.4,15.4,,114603,5,,,,7,,,,51,,333,333,,,8649,,,7.02,914,,50.53,,0,0,39.99,0,,25,25,
S1,29,59,12.8,12.83,44.6,14.3,15.4,15.4,,114603,6,,,,14,,,,489,,308,308,,,9084,,,10.25,1074,,50.48,,0,0,40.34,0,,24,24,
S1,29,60,15.3,9.87,56.7,18.2,15.4,15.4,,114603,5,,,,14,,,,19,,182,168,,,19951,,,16.08,0,,52.05,,0,0,39.08,0,,11,24,
S1,29,61,13.3,13.41,47.5,15.21,14.8,14.8,,107918,5,,,,14,,,,600,,181,179,,,11274,,,12.82,1624,,39.48,,0,0,27.78,0,,13.5,24,
S1,29,62,13.3,13.52,49.8,15.95,14.8,14.8,,107918,6,,,,14,,,,89,,332,332,,,13369,,,16.72,1678,,70.02,,0,0,60.02,0,,25,25,
S1,29,63,13.1,6.97,47.4,15.18,14.8,14.8,,107918,1,,,,0,,,,29,,152,105,,,11372,,,13.53462234,0,,35.17,,0,0,16.85,0,,8,24,
S1,29,64,9.6,7.28,36.9,11.83,14.8,14.8,,107918,2,,,,15,,,,16.5,,192,129,,,5373,,,19.25,0,,36.25,,0,0,16.16,0,,13.5,24,
S1,29,67,16,16.73,56.5,18.1,12.7,13.6,,86539,4,,,,5,,,,3500,,355,352,,,20226,,,11.58,2166,,77.37,,0,0,68.62,0,,22,24,-14.16
S1,29,68,14.2,14.74,48.6,15.57,12.7,13.6,,86539,3,,,,2,,,,110,,327,327,,,13830,,,8.69,1535,,57.47,,0,0,49.66,0,,23,23,0.16
S1,29,69,11.3,7.61,43.6,14,0,0,,0,6,,,,2,,,,19.5,,180,175,,,11308,,,19.35,0,,39.57,,0,0,28.82,0,,15.5,24,
S1,29,71,10,10,35.2,11.29,12.3,12.3,,71526,3,,,,12,,,,19.4,,57,22,,,5662,,,11.42,0,,15.5,,0,0,2.52,0,,2.2,24,
S1,29,73,4.3,5.03,0,12.2,13.3,13.3,,85574,3,,,,2,,,,77,,111,80,,,0,,,64.55,0,,23.12,,0,0,10.72,0,,18.5,24,
S1,29,74,11.8,8.83,42.3,13.54,13.3,13.3,,85574,4,,,,11,,,,27,,202,188,,,0,,,13.24,0,,36.92,,0,0,26.55,0,,16,24,
S1,29,76,10.3,10.9,36.8,11.79,13.35,13.9,,92524,3,,,,13,,,,590,,143,138,,,6476,,,12.68,1045,,25.65,,0,0,15.06,0,,13.4,24,
S1,29,77,10.9,11.54,38,12.17,13.35,13.9,,92524,4,,,,11,,,,2350,,261,261,,,6587,,,10.63,940,,39.91,,0,0,30.2,0,,24,24,23.44
S1,29,78,9.3,9.63,37.8,12.1,12.7,13.87,,92524,3,,,,2,,,,175,,222,222,,,6487,,,23.58,0,,34.29,,0,0,24.85,0,,24,24,37.26
S1,29,79,1.8,2.23,37.8,12.11,0,0,,0,3,,,,9,,,,17.5,,28,20,,,9317,,,85.38,0,,13.79,,0,0,2.74,0,,11.3,24,
S1,29,80,18.2,17.16,54,17.31,14.4,14.64,,108909,6,,,,12,,,,1350,,234,226,,,17377,,,-5.3,2213,,50.94,,0,0,39.02,0,,12.4,23,
S1,29,80,18.2,17.16,54,17.31,14.4,14.64,,108909,6,,,,12,,,,1350,,234,226,,,17377,,,-5.3,2213,,50.94,,0,0,39.02,0,,12.4,23,
S1,29,81,12.6,7.43,44.2,14.14,14.4,14.64,,108909,6,,,,13,,,,22.5,,191,122,,,10673,,,11.08,0,,39.32,,0,0,16.72,0,,9.7,24,
S1,29,88,17.1,16.52,56.7,18.17,14.6,14.6,,108909,5,,,,15,,,,800,,273,231,,,20034,,,5.83,1073,,63.38,,0,0,47.53,0,,13.5,24,
S1,29,89,11.1,10.54,38.1,12.19,14.6,14.6,,108909,5,,,,14,,,,840,,255,255,,,5231,,,9.03,880,,36.4,,0,0,24.76,0,,23,23,
S1,29,89,11.1,10.54,38.1,12.19,14.6,14.6,,108909,5,,,,14,,,,840,,255,255,,,5231,,,9.03,880,,36.4,,0,0,24.76,0,,23,23,
S1,29,90,11.4,6.61,38,12.17,14.7,14.8,,0,5,,,,14,,,,18.5,,139,128,,,5221,,,6.11,0,,27.33,,0,0,12.32,0,,11.2,24,
S1,29,90,11.4,6.61,38,12.17,0,0,,0,5,,,,14,,,,18.5,,139,128,,,5221,,,6.11,0,,27.33,,0,0,12.32,0,,11.2,24,
S1,29,91,18.6,18.42,63.1,20.2,15,15,,108109,4,,,,14,,,,1350,,313,307,,,23780,,,7.88,2212,,78.77,,0,0,67.26,0,,16.5,24,
S1,29,92,17.9,16.75,63.1,20.2,15,15,,108109,4,,,,14,,,,525,,429,429,,,24028,,,11.51,2134,,102.04,,0,0,93.55,0,,24,24,-12.95
S1,29,92,18.8,18.91,65.4,20.96,15,15,,108109,3,,,,9,,,,1400,,432,432,,,26545,,,10.4,2160,,110.59,,0,0,100.78,0,,23,23,-28.49
S1,29,93,18.9,18.79,64.6,20.69,15,15,,108109,2,,,,1,,,,4000,,454,454,,,26075,,,8.56,2133,,112.15,,0,0,102.49,0,,24,24,-27.63
S1,29,94,18.7,18.65,64.5,20.66,14.4,14.7,,108109,5,,,,0,,,,4200,,429,429,,,25974,,,9.71,2160,,106.75,,0,0,97.5,0,,23,23,
S1,29,95,18.1,18.33,63.2,20.23,14.4,14.6,,108109,3,,,,13,,,,2600,,435,435,,,24182,,,10.39,1992,,106.97,,0,0,97.04,0,,24,24,-24.72
S1,29,96,17.9,17.96,61.6,19.73,14.4,14.6,,108109,3,,,,15,,,,3300,,412,412,,,22424,,,9.23,1889,,96.45,,0,0,86.71,0,,23,23,-22.05
S1,29,97,17.3,17.7,61,19.54,14.4,14.6,,108109,2,,,,6,,,,3335,,398,398,,,22221,,,11.42,1944,,95.31,,0,0,85.72,0,,23,23,-20.18
S1,29,98,17.5,17.91,61.9,19.82,14.4,14.6,,108109,4,,,,0,,,,1200,,403,403,,,23036,,,11.62,1910,,98.45,,0,0,88.86,0,,23,23,-21.69
S1,29,99,11.5,11.92,46.9,15.02,14.4,14.6,,108109,3,,,,14,,,,450,,276,276,,,12207,,,23.44,1406,,52.15,,0,0,41.04,0,,24,24,21.4
S1,29,100,11.1,11.17,39,12.5,14.4,14.6,,108109,3,,,,6,,,,55,,267,267,,,7614,,,10.98,2797,,39,,0,0,27.85,0,,24,24,26.8
S1,29,101,13.9,9.28,49.7,15.92,14.1,14.2,,0,2,,,,3,,,,16.6,,211,188,,,15755,,,12.53,873,,48.04,,0,0,33.01,0,,13.5,24,
S1,29,103,18.4,17.81,63.1,20.2,13.05,13.6,,86555,2,,,,12,,,,74,,380,367,,,24967,,,9.16,2819,,93.52,,0,0,81.27,0,,20,24,
S1,29,104,20,20,68,21.78,13.05,13.6,,86555,3,,,,10,,,,3800,,480,480,,,28974,,,8.17,2520,,127.74,,0,0,119.17,0,,24,24,-37.75
S1,29,105,18.8,18.92,64.9,20.78,13.05,13.6,,86555,4,,,,1,,,,3850,,451,451,,,26841,,,9.56,2496,,113.62,,0,0,105.06,0,,24,24,-29.98
S1,29,106,16.9,17.14,60.4,19.33,0,0,,0,2,,,,10,,,,17.4,,322,313,,,23088,,,12.49,0,,80.46,,0,0,70.71,0,,18.5,24,
S1,29,107,16.9,17.04,60.8,19.48,11.15,11.5,,58860,6,,,,1,,,,90,,217,211,,,27513,,,13.33,1400,,66.15,,0,0,55.97,0,,12.5,24,
S1,29,108,11,11.35,39.2,12.55,11.15,11.5,,58860,4,,,,6,,,,110,,254,254,,,6662,,,12,1090,,36.7,,0,0,28.59,0,,23,23,22.18
S1,29,108,11,11.17,39.7,12.71,11.15,11.5,,58860,4,,,,4,,,,76,,263,263,,,6896,,,13.76,1011,,40.13,,0,0,31.81,0,,24,24,23.48
S1,29,109,11,11.35,39.2,12.55,11.15,11.5,,58860,4,,,,6,,,,110,,254,254,,,6662,,,12,1090,,36.7,,0,0,28.59,0,,23,23,22.18
S1,29,110,8.6,8.57,36.9,11.82,11.1,11.5,,58860,3,,,,5,,,,18.5,,204,198,,,5825,,,27.16,0,,30.28,,0,0,21.63,0,,23,24,42.54
S1,30,112,14.6,15.45,50.6,16.21,11.1,11.7,,60547,4,,,,4,,,,103,,220,212,,,14662,,,9.81,1870,,47.33,,0,0,37.56,0,,14.5,25,
S1,30,113,14.7,0,51.5,16.51,11.15,11.75,,60547,3,,,,1,,,,0,,311,250,,,15691,,,10.92,1189,,63.05,,0,0,46.39,0,,17,24,
S1,30,115,11.4,11.43,36.9,13.23,12.1,12.4,,71224,2,,,,8,,,,45,,110,72,,,6576,,,13.6470052,0,,24.87,,0,0,10.06,0,,6.3,24,
S1,30,118,18.5,18.09,66.5,21.29,12.8,13.9,,86086,3,,,,2,,,,55,,398,380,,,30461,,,12.93,2492,,111.65,,0,0,100.96,0,,20.5,24,
S1,30,119,18.5,19.54,67.1,21.5,12.8,13.9,,86086,3,,,,11,,,,42,,443,443,,,30628,,,14.16,2185,,131.08,,0,0,123.38,0,,24,24,-34.01
S1,30,121,19,18.24,68,21.78,13.8,14.9,,101652,5,,,,4,,,,2200,,406,380,,,30169,,,12.74,2543,,115.34,,0,0,99.6,0,,20,24,
S1,30,122,19.2,19.38,66.3,21.25,13.7,14.9,,101652,5,,,,3,,,,720,,461,461,,,27098,,,9.6,2215,,117.43,,0,0,108.27,0,,24,24,
S1,30,123,11.6,12.13,41.3,13.23,13.7,14.9,,101653,3,,,,4,,,,65,,279,279,,,7134,,,12.16,715,,46.14,,0,0,37.12,0,,24,24,20.39
S1,30,124,10.3,10.5,40.8,13.08,13.7,14.9,,101653,2,,,,7,,,,38,,246,246,,,7925,,,21.63,1420,,37.5,,0,0,28.12,0,,24,24,32.33
S1,30,125,0,0,42.4,10.8,14.2,14.8,,0,3,,,,4,,,,0,,0,0,,,0,,,100,0,,19.12,,0,0,6.14,0,,4,24,
S1,30,126,16.6,18.6,56.8,18.2,15.35,15.5,,117250,0,,,,0,,,,36,,91,83,,,20017,,,8.82,2480,,29.54,,0,0,16.04,0,,5,24,
S1,30,127,17.5,17.8,60.3,19.32,15.35,15.5,,117250,2,,,,9,,,,2000,,419,419,,,21799,,,9.62,2261,,97.86,,0,0,87.91,0,,24,24,-19.94
S1,30,128,18.4,17.78,62.5,20.01,15.35,15.5,,117250,0,,,,0,,,,3210,,461,461,,,23191,,,7.85,2237,,109.37,,0,0,98.83,0,,25,25,-19.8
S1,30,129,17.4,17.6,62.3,19.96,15.2,15.5,,117250,3,,,,8,,,,4100,,417,417,,,22977,,,12.93,2232,,103.3,,0,0,93.3,0,,24,24,-18.47
S1,30,129,17.4,17.6,62.3,19.96,15.2,15.5,,117250,3,,,,8,,,,4100,,417,417,,,22977,,,12.93,2232,,103.3,,0,0,93.3,0,,24,24,-18.47
S1,30,130,17.2,18.4,62.6,20.05,15.2,15.5,,117250,6,,,,11,,,,2300,,431,431,,,24042,,,14.04,2775,,111.01,,0,0,100.6,0,,25,25,
S1,30,130,17.2,18.4,62.6,20.05,15.2,15.5,,117250,6,,,,11,,,,2300,,431,431,,,24042,,,14.04,2775,,111.01,,0,0,100.6,0,,25,25,
S1,30,131,16.5,17.4,63.1,20.2,15.2,15.5,,117250,6,,,,9,,,,4600,,396,396,,,25482,,,18.31,2590,,113.38,,0,0,103.64,0,,24,24,
S1,30,131,16.5,17.4,63.1,20.2,15.2,15.5,,117250,6,,,,9,,,,4600,,396,396,,,25482,,,18.31,2590,,113.38,,0,0,103.64,0,,24,24,
S1,30,132,17.8,16.8,66.4,21.25,15.2,15.5,,117250,5,,,,10,,,,4300,,444,444,,,29192,,,16.44,2672,,132.26,,0,0,122.37,0,,25,25,
S1,30,133,16.1,18.9,61.9,19.81,15.2,15.5,,117250,5,,,,10,,,,3000,,403,403,,,25244,,,18.63,3190,,114.33,,0,0,104.4,0,,25,25,
S1,30,134,19.4,20,70.3,22.51,15.4,15.5,,117250,3,,,,11,,,,2000,,466,466,,,33969,,,13.73,3020,,152.55,,0,0,142,0,,24,24,-35.78
S1,30,136,19.1,17.5,68.4,21.89,15.4,15.5,,117250,3,,,,12,,,,65,,478,478,,,31502,,,12.67,2527,,147.56,,0,0,136.53,0,,25,25,-17.79
S1,30,137,17.7,0,64.9,20.8,15.4,15.5,,117250,4,,,,13,,,,18.5,,402,389,,,26980,,,14.98,0,,115.93,,0,0,103.43,0,,22,24,
S1,30,138,13.5,14,49.3,15.79,14.5,14.65,,106333,4,,,,13,,,,800,,149,142,,,12077,,,14.33,1680,,36.32,,0,0,22.69,0,,10.5,24,
S1,30,139,14,14.3,51.3,16.44,14.5,14.65,,106333,6,,,,13,,,,70,,349,349,,,13989,,,15.09,1982,,73.21,,0,0,62.4,0,,25,25,
S1,30,140,13.8,10,29.4,16.64,14.5,14.65,,106333,3,,,,14,,,,25,,185,120,,,3243,,,17.09,0,,42.86,,0,0,23.91,0,,8.7,24,
S1,30,141,8.3,0,39.7,12.71,14.5,14.65,,106333,3,,,,12,,,,16.7,,179,125,,,7189,,,34.44,0,,34.04,,0,0,13.96,0,,15,24,
S1,30,143,14,12.8,49.1,15.71,12.65,13.75,,87863,2,,,,14,,,,1500,,80,77,,,12233,,,10.9,1662,,25.65,,0,0,13.62,0,,5.5,24,
S1,30,144,13.8,14.3,49.2,15.75,12.65,13.75,,87863,4,,,,13,,,,1200,,331,331,,,11797,,,12.41,1272,,62.58,,0,0,52.77,0,,24,24,3.52
S1,30,145,14.1,12.4,52.1,16.68,12.65,13.75,,87863,6,,,,1,,,,60,,339,339,,,15794,,,15.33,1911,,77.61,,0,0,69.06,0,,24,24,
S1,30,146,11.4,0,45.8,14.7,0,0,,0,3,,,,2,,,,19,,109,98,,,10990,,,22.48,0,,30.66,,0,0,18.6,0,,8.6,24,
S1,30,148,3.1,12,41.6,13.34,11.6,12.5,,69590,3,,,,12,,,,55,,43,32,,,7837,,,76.47,0,,17.76,,0,0,4.12,0,,10.2,24,
S1,30,150,11.3,11.2,38.7,12.4,12.7,12.95,,80742,4,,,,1,,,,35,,206,189,,,6531,,,9.27,5200,,32.32,,0,0,21.25,0,,16.8,24,
S1,30,151,10.4,0,37,11.9,0,0,,0,4,,,,13,,,,19,,103,96,,,4877,,,12.31,0,,18.51,,0,0,8.84,0,,9.2,24,
S1,30,153,10.7,11.1,37.2,11.9,13.65,13.65,,94778,6,,,,14,,,,560,,199,197,,,5166,,,10.03,5026,,30.55,,0,0,19.92,0,,18.4,24,
S1,30,154,10.8,11.37,37.8,12.1,13,13.7,,94778,2,,,,12,,,,2340,,258,258,,,5287,,,11.16,1010,,34.36,,0,0,24.76,0,,24,24,24.48
S1,30,155,10.9,11.2,76,11.8,13,13.7,,94778,2,,,,8,,,,120,,162,160,,,5226,,,7.76,0,,26.23,,0,0,15.11,0,,14.7,24,
S1,30,157,12.9,13.66,46.4,14.9,14.1,14.55,,109119,2,,,,9,,,,1500,,238,233,,,10167,,,13.12,1350,,50.08,,0,0,36.18,0,,18,25,
S1,30,158,12.1,8.2,42.1,13.5,14.05,14.6,,109119,3,,,,15,,,,24,,173,103,,,5200,,,10.24,1260,,37.46,,0,0,14.33,0,,8.5,24,
S1,30,159,18,18,60.3,19.3,14.05,14.6,,109119,6,,,,14,,,,750,,373,332,,,21419,,,6.51,1880,,87.27,,0,0,69.99,0,,18.4,23,
S1,30,159,16.4,0,55.3,17.7,0,0,,0,5,,,,14,,,,21,,296,287,,,16343,,,7.34,1445,,66.7,,0,0,52.32,0,,17.5,24,
S1,30,160,16.4,0,55.3,17.7,0,0,,0,5,,,,14,,,,21,,296,287,,,16343,,,7.34,1445,,66.7,,0,0,52.32,0,,17.5,24,
S1,30,161,15.4,15.7,53.1,17,15.3,15.4,,109843,5,,,,14,,,,446,,401,100,,,14467,,,9.5,1668,,30.07,,0,0,16.59,0,,6.5,24,
S1,30,162,15.3,15.4,53.1,17,15.3,15.4,,109843,2,,,,3,,,,60,,366,366,,,14500,,,10.29,1612,,74.19,,0,0,62.27,0,,24,24,-2.79
S1,30,162,15,15.34,53.1,17,15.3,15.4,,109843,4,,,,10,,,,2000,,345,345,,,14913,,,11.76,1569,,68.81,,0,0,58.07,0,,23,23,-2.36
S1,30,163,15.5,15.58,53,17,14.55,14.5,,109843,5,,,,9,,,,1500,,371,371,,,14706,,,9.07,1573,,72.1,,0,0,60.92,0,,24,24,
