PK,SK,ship,day,date,stw_raw,stw_corrected,baseline_stw,speed_loss_pct,timestamp
SHIP#S1,DAY#239,S1,239,2020-08-27T00:00:00,15.2,14.32,13.23,8.22,1598457600
SHIP#S1,DAY#242,S1,242,2020-08-30T00:00:00,15.4,14.52,13.23,9.73,1598716800
SHIP#S1,DAY#243,S1,243,2020-08-31T00:00:00,15.26,14.38,13.23,8.68,1598803200
SHIP#S1,DAY#244,S1,244,2020-09-01T00:00:00,15.25,14.37,13.23,8.6,1598889600
SHIP#S1,DAY#247,S1,247,2020-09-04T00:00:00,10.83,9.95,13.23,-24.78,1599148800
SHIP#S1,DAY#256,S1,256,2020-09-13T00:00:00,18.6,17.8,13.23,34.52,1599926400
SHIP#S1,DAY#278,S1,278,2020-10-05T00:00:00,19.9,19.15,13.23,44.74,1601827200
SHIP#S1,DAY#284,S1,284,2020-10-11T00:00:00,16.67,15.74,13.23,18.95,1602345600
SHIP#S1,DAY#288,S1,288,2020-10-15T00:00:00,18.72,17.66,13.23,33.49,1602691200
SHIP#S1,DAY#290,S1,290,2020-10-17T00:00:00,18.56,17.5,13.23,32.29,1602864000
SHIP#S1,DAY#291,S1,291,2020-10-18T00:00:00,19.0,17.94,13.23,35.61,1602950400
SHIP#S1,DAY#292,S1,292,2020-10-19T00:00:00,19.2,18.14,13.23,37.12,1603036800
SHIP#S1,DAY#293,S1,293,2020-10-20T00:00:00,19.0,17.94,13.23,35.61,1603123200
SHIP#S1,DAY#294,S1,294,2020-10-21T00:00:00,19.25,18.19,13.23,37.5,1603209600
SHIP#S1,DAY#297,S1,297,2020-10-24T00:00:00,17.38,16.31,13.23,23.25,1603468800
SHIP#S1,DAY#299,S1,299,2020-10-26T00:00:00,18.91,17.91,13.23,35.38,1603641600
SHIP#S1,DAY#305,S1,305,2020-11-01T00:00:00,14.46,13.71,13.23,3.59,1604160000
SHIP#S1,DAY#306,S1,306,2020-11-02T00:00:00,12.88,12.13,13.23,-8.35,1604246400
SHIP#S1,DAY#316,S1,316,2020-11-12T00:00:00,20.0,19.24,13.23,45.44,1605110400
SHIP#S1,DAY#323,S1,323,2020-11-19T00:00:00,17.5,16.55,13.23,25.07,1605715200
SHIP#S1,DAY#326,S1,326,2020-11-22T00:00:00,16.1,15.15,13.23,14.49,1605974400
SHIP#S1,DAY#327,S1,327,2020-11-23T00:00:00,16.2,15.25,13.23,15.24,1606060800
SHIP#S1,DAY#329,S1,329,2020-11-25T00:00:00,18.2,17.25,13.23,30.36,1606233600
SHIP#S1,DAY#330,S1,330,2020-11-26T00:00:00,18.8,17.9,13.23,35.29,1606320000
SHIP#S1,DAY#332,S1,332,2020-11-28T00:00:00,13.4,12.5,13.23,-5.52,1606492800
SHIP#S1,DAY#336,S1,336,2020-12-02T00:00:00,19.7,18.94,13.23,43.17,1606838400
SHIP#S1,DAY#337,S1,337,2020-12-03T00:00:00,17.6,16.84,13.23,27.3,1606924800
SHIP#S1,DAY#341,S1,341,2020-12-07T00:00:00,10.9,10.24,13.23,-22.61,1607270400
SHIP#S1,DAY#343,S1,343,2020-12-09T00:00:00,10.5,9.84,13.23,-25.63,1607443200
SHIP#S1,DAY#347,S1,347,2020-12-13T00:00:00,11.5,11.0,13.23,-16.82,1607788800
SHIP#S1,DAY#357,S1,357,2020-12-23T00:00:00,15.1,14.11,13.23,6.64,1608652800
SHIP#S1,DAY#358,S1,358,2020-12-24T00:00:00,11.1,10.13,13.23,-23.42,1608739200
SHIP#S1,DAY#361,S1,361,2020-12-27T00:00:00,14.48,14.83,13.23,12.1,1608998400
SHIP#S1,DAY#362,S1,362,2020-12-28T00:00:00,14.92,15.17,13.23,14.67,1609084800
SHIP#S1,DAY#363,S1,363,2020-12-29T00:00:00,13.92,13.87,13.23,4.84,1609171200
SHIP#S1,DAY#364,S1,364,2020-12-30T00:00:00,14.33,13.98,13.23,5.67,1609257600
SHIP#S1,DAY#365,S1,365,2020-12-31T00:00:00,14.92,14.8,13.23,11.83,1609344000
SHIP#S1,DAY#366,S1,366,2021-01-01T00:00:00,14.33,14.61,13.23,10.4,1609430400
SHIP#S1,DAY#367,S1,367,2021-01-02T00:00:00,15.2,14.98,13.23,13.19,1609516800
SHIP#S1,DAY#368,S1,368,2021-01-03T00:00:00,15.96,15.34,13.23,15.91,1609603200
SHIP#S1,DAY#370,S1,370,2021-01-05T00:00:00,15.44,15.92,13.23,20.3,1609776000
SHIP#S1,DAY#372,S1,372,2021-01-07T00:00:00,14.08,13.96,13.23,5.48,1609948800
SHIP#S1,DAY#375,S1,375,2021-01-10T00:00:00,10.44,9.86,13.23,-25.51,1610208000
SHIP#S1,DAY#376,S1,376,2021-01-11T00:00:00,8.88,8.38,13.23,-36.66,1610294400
SHIP#S1,DAY#383,S1,383,2021-01-18T00:00:00,16.3,16.41,13.23,24.03,1610899200
SHIP#S1,DAY#392,S1,392,2021-01-27T00:00:00,13.29,13.02,13.23,-1.58,1611676800
SHIP#S1,DAY#393,S1,393,2021-01-28T00:00:00,13.21,12.64,13.23,-4.46,1611763200
SHIP#S1,DAY#400,S1,400,2021-02-04T00:00:00,12.91,13.4,13.23,1.25,1612368000
SHIP#S1,DAY#401,S1,401,2021-02-05T00:00:00,19.0,19.42,13.23,46.8,1612454400
SHIP#S1,DAY#407,S1,407,2021-02-11T00:00:00,18.7,19.02,13.23,43.77,1612972800
SHIP#S1,DAY#409,S1,409,2021-02-13T00:00:00,12.74,12.63,13.23,-4.5,1613145600
SHIP#S1,DAY#410,S1,410,2021-02-14T00:00:00,13.13,13.9,13.23,5.06,1613232000
SHIP#S1,DAY#411,S1,411,2021-02-15T00:00:00,9.54,9.54,13.23,-27.93,1613318400
SHIP#S1,DAY#412,S1,412,2021-02-16T00:00:00,8.92,8.53,13.23,-35.53,1613404800
SHIP#S1,DAY#415,S1,415,2021-02-19T00:00:00,18.17,18.94,13.23,43.18,1613664000
SHIP#S1,DAY#416,S1,416,2021-02-20T00:00:00,16.75,17.1,13.23,29.23,1613750400
SHIP#S1,DAY#421,S1,421,2021-02-25T00:00:00,10.52,10.75,13.23,-18.73,1614182400
SHIP#S1,DAY#422,S1,422,2021-02-26T00:00:00,10.83,11.67,13.23,-11.82,1614268800
SHIP#S1,DAY#433,S1,433,2021-03-09T00:00:00,17.67,17.72,13.23,33.93,1615219200
SHIP#S1,DAY#434,S1,434,2021-03-10T00:00:00,16.17,17.02,13.23,28.64,1615305600
SHIP#S1,DAY#437,S1,437,2021-03-13T00:00:00,11.0,11.47,13.23,-13.28,1615564800
SHIP#S1,DAY#438,S1,438,2021-03-14T00:00:00,11.46,12.13,13.23,-8.28,1615651200
SHIP#S1,DAY#439,S1,439,2021-03-15T00:00:00,11.83,12.53,13.23,-5.3,1615737600
SHIP#S1,DAY#440,S1,440,2021-03-16T00:00:00,11.13,11.33,13.23,-14.37,1615824000
SHIP#S1,DAY#443,S1,443,2021-03-19T00:00:00,12.4,12.4,13.23,-6.3,1616083200
SHIP#S1,DAY#445,S1,445,2021-03-21T00:00:00,13.4,13.7,13.23,3.53,1616256000
SHIP#S1,DAY#446,S1,446,2021-03-22T00:00:00,11.83,11.83,13.23,-10.61,1616342400
SHIP#S1,DAY#447,S1,447,2021-03-23T00:00:00,12.48,12.08,13.23,-8.72,1616428800
SHIP#S1,DAY#448,S1,448,2021-03-24T00:00:00,13.0,12.6,13.23,-4.79,1616515200
SHIP#S1,DAY#449,S1,449,2021-03-25T00:00:00,12.28,11.98,13.23,-9.47,1616601600
SHIP#S1,DAY#450,S1,450,2021-03-26T00:00:00,12.25,12.15,13.23,-8.19,1616688000
SHIP#S1,DAY#451,S1,451,2021-03-27T00:00:00,12.33,12.21,13.23,-7.7,1616774400
SHIP#S1,DAY#453,S1,453,2021-03-29T00:00:00,12.52,12.6,13.23,-4.75,1616947200
SHIP#S1,DAY#454,S1,454,2021-03-30T00:00:00,13.25,13.13,13.23,-0.74,1617033600
SHIP#S1,DAY#456,S1,456,2021-04-01T00:00:00,11.92,11.8,13.23,-10.8,1617206400
SHIP#S1,DAY#457,S1,457,2021-04-02T00:00:00,11.46,11.74,13.23,-11.25,1617292800
SHIP#S1,DAY#459,S1,459,2021-04-04T00:00:00,10.92,11.08,13.23,-16.22,1617465600
SHIP#S1,DAY#460,S1,460,2021-04-05T00:00:00,10.17,10.54,13.23,-20.38,1617552000
SHIP#S1,DAY#467,S1,467,2021-04-12T00:00:00,13.13,13.9,13.23,5.06,1618156800
SHIP#S1,DAY#475,S1,475,2021-04-20T00:00:00,11.17,11.85,13.23,-10.41,1618848000
SHIP#S1,DAY#476,S1,476,2021-04-21T00:00:00,11.54,11.62,13.23,-12.15,1618934400
SHIP#S1,DAY#477,S1,477,2021-04-22T00:00:00,2.67,2.95,13.23,-77.68,1619020800
SHIP#S1,DAY#483,S1,483,2021-04-28T00:00:00,4.04,4.23,13.23,-68.03,1619539200
SHIP#S1,DAY#486,S1,486,2021-05-01T00:00:00,17.3,16.97,13.23,28.28,1619798400
SHIP#S1,DAY#486,S1,486,2021-05-01T00:00:00,17.29,17.06,13.23,28.96,1619798400
SHIP#S1,DAY#487,S1,487,2021-05-02T00:00:00,17.75,17.96,13.23,35.72,1619884800
SHIP#S1,DAY#488,S1,488,2021-05-03T00:00:00,17.83,17.72,13.23,33.95,1619971200
SHIP#S1,DAY#489,S1,489,2021-05-04T00:00:00,17.83,17.72,13.23,33.95,1620057600
SHIP#S1,DAY#490,S1,490,2021-05-05T00:00:00,17.74,18.23,13.23,37.8,1620144000
SHIP#S1,DAY#494,S1,494,2021-05-09T00:00:00,14.63,14.98,13.23,13.24,1620489600
SHIP#S1,DAY#494,S1,494,2021-05-09T00:00:00,15.78,16.73,13.23,26.47,1620489600
SHIP#S1,DAY#495,S1,495,2021-05-10T00:00:00,13.17,13.47,13.23,1.83,1620576000
SHIP#S1,DAY#498,S1,498,2021-05-13T00:00:00,12.33,12.8,13.23,-3.26,1620835200
SHIP#S1,DAY#499,S1,499,2021-05-14T00:00:00,11.88,12.33,13.23,-6.83,1620921600
SHIP#S1,DAY#500,S1,500,2021-05-15T00:00:00,11.33,11.88,13.23,-10.2,1621008000
SHIP#S1,DAY#501,S1,501,2021-05-16T00:00:00,10.25,11.38,13.23,-14.02,1621094400
SHIP#S1,DAY#503,S1,503,2021-05-18T00:00:00,2.38,2.52,13.23,-80.93,1621267200
SHIP#S1,DAY#508,S1,508,2021-05-23T00:00:00,7.42,7.91,13.23,-40.21,1621699200
SHIP#S1,DAY#558,S1,558,2021-07-12T00:00:00,2.08,3.19,13.23,-75.92,1626019200
SHIP#S1,DAY#560,S1,560,2021-07-14T00:00:00,16.4,17.07,13.23,29.02,1626192000
SHIP#S1,DAY#565,S1,565,2021-07-19T00:00:00,16.0,15.63,13.23,18.15,1626624000
SHIP#S1,DAY#566,S1,566,2021-07-20T00:00:00,14.04,13.63,13.23,3.05,1626710400
SHIP#S1,DAY#569,S1,569,2021-07-23T00:00:00,14.33,14.02,13.23,5.95,1626969600
SHIP#S1,DAY#570,S1,570,2021-07-24T00:00:00,13.56,12.85,13.23,-2.9,1627056000
SHIP#S1,DAY#571,S1,571,2021-07-25T00:00:00,14.17,14.23,13.23,7.57,1627142400
SHIP#S1,DAY#572,S1,572,2021-07-26T00:00:00,13.6,13.66,13.23,3.26,1627228800
SHIP#S1,DAY#573,S1,573,2021-07-27T00:00:00,13.17,12.83,13.23,-3.01,1627315200
SHIP#S1,DAY#579,S1,579,2021-08-02T00:00:00,12.63,13.1,13.23,-1.02,1627833600
SHIP#S1,DAY#581,S1,581,2021-08-04T00:00:00,13.12,12.71,13.23,-3.93,1628006400
SHIP#S1,DAY#582,S1,582,2021-08-05T00:00:00,12.29,11.79,13.23,-10.88,1628092800
SHIP#S1,DAY#585,S1,585,2021-08-08T00:00:00,10.96,11.22,13.23,-15.23,1628352000
SHIP#S1,DAY#586,S1,586,2021-08-09T00:00:00,10.88,11.54,13.23,-12.78,1628438400
SHIP#S1,DAY#592,S1,592,2021-08-15T00:00:00,14.79,15.34,13.23,15.92,1628956800
SHIP#S1,DAY#593,S1,593,2021-08-16T00:00:00,14.21,13.96,13.23,5.54,1629043200
SHIP#S1,DAY#602,S1,602,2021-08-25T00:00:00,14.13,14.45,13.23,9.23,1629820800
SHIP#S1,DAY#603,S1,603,2021-08-26T00:00:00,12.42,12.28,13.23,-7.19,1629907200
SHIP#S1,DAY#608,S1,608,2021-08-31T00:00:00,12.83,12.64,13.23,-4.45,1630339200
SHIP#S1,DAY#610,S1,610,2021-09-02T00:00:00,17.26,17.5,13.23,32.23,1630512000
SHIP#S1,DAY#617,S1,617,2021-09-09T00:00:00,18.44,18.39,13.23,38.96,1631116800
SHIP#S1,DAY#618,S1,618,2021-09-10T00:00:00,18.26,17.47,13.23,32.04,1631203200
SHIP#S1,DAY#623,S1,623,2021-09-15T00:00:00,18.63,18.1,13.23,36.82,1631635200
SHIP#S1,DAY#627,S1,627,2021-09-19T00:00:00,12.54,12.36,13.23,-6.54,1631980800
SHIP#S1,DAY#636,S1,636,2021-09-28T00:00:00,12.4,11.93,13.23,-9.86,1632758400
SHIP#S1,DAY#649,S1,649,2021-10-11T00:00:00,16.58,16.04,13.23,21.24,1633881600
SHIP#S1,DAY#650,S1,650,2021-10-12T00:00:00,14.75,14.21,13.23,7.37,1633968000
SHIP#S1,DAY#653,S1,653,2021-10-15T00:00:00,15.5,15.5,13.23,17.16,1634227200
SHIP#S1,DAY#656,S1,656,2021-10-18T00:00:00,14.16,13.64,13.23,3.13,1634486400
SHIP#S1,DAY#657,S1,657,2021-10-19T00:00:00,14.63,13.79,13.23,4.26,1634572800
SHIP#S1,DAY#658,S1,658,2021-10-20T00:00:00,15.04,14.54,13.23,9.93,1634659200
SHIP#S1,DAY#659,S1,659,2021-10-21T00:00:00,15.08,14.86,13.23,12.31,1634745600
SHIP#S1,DAY#662,S1,662,2021-10-24T00:00:00,13.96,12.88,13.23,-2.69,1635004800
SHIP#S1,DAY#668,S1,668,2021-10-30T00:00:00,13.17,12.7,13.23,-3.98,1635523200
SHIP#S1,DAY#669,S1,669,2021-10-31T00:00:00,13.33,12.86,13.23,-2.77,1635609600
SHIP#S1,DAY#670,S1,670,2021-11-01T00:00:00,13.2,12.79,13.23,-3.34,1635696000
SHIP#S1,DAY#673,S1,673,2021-11-04T00:00:00,18.79,18.87,13.23,42.64,1635955200
SHIP#S1,DAY#696,S1,696,2021-11-27T00:00:00,9.46,10.02,13.23,-24.31,1637942400
SHIP#S1,DAY#697,S1,697,2021-11-28T00:00:00,10.71,11.16,13.23,-15.69,1638028800
SHIP#S1,DAY#700,S1,700,2021-12-01T00:00:00,13.08,12.79,13.23,-3.3,1638288000
SHIP#S1,DAY#701,S1,701,2021-12-02T00:00:00,13.54,13.55,13.23,2.44,1638374400
SHIP#S1,DAY#702,S1,702,2021-12-03T00:00:00,13.58,13.65,13.23,3.2,1638460800
SHIP#S1,DAY#704,S1,704,2021-12-05T00:00:00,12.67,12.87,13.23,-2.7,1638633600
SHIP#S1,DAY#705,S1,705,2021-12-06T00:00:00,12.46,11.83,13.23,-10.56,1638720000
SHIP#S1,DAY#706,S1,706,2021-12-07T00:00:00,12.29,11.72,13.23,-11.43,1638806400
SHIP#S1,DAY#707,S1,707,2021-12-08T00:00:00,12.13,12.12,13.23,-8.41,1638892800
SHIP#S1,DAY#709,S1,709,2021-12-10T00:00:00,11.83,11.72,13.23,-11.39,1639065600
SHIP#S1,DAY#710,S1,710,2021-12-11T00:00:00,12.0,12.48,13.23,-5.65,1639152000
SHIP#S1,DAY#711,S1,711,2021-12-12T00:00:00,11.75,12.23,13.23,-7.54,1639238400
SHIP#S1,DAY#712,S1,712,2021-12-13T00:00:00,12.08,12.16,13.23,-8.07,1639324800
SHIP#S1,DAY#713,S1,713,2021-12-14T00:00:00,12.04,12.02,13.23,-9.12,1639411200
SHIP#S1,DAY#714,S1,714,2021-12-15T00:00:00,11.46,11.87,13.23,-10.26,1639497600
SHIP#S1,DAY#717,S1,717,2021-12-18T00:00:00,12.25,12.76,13.23,-3.53,1639756800
SHIP#S1,DAY#721,S1,721,2021-12-22T00:00:00,10.57,9.76,13.23,-26.2,1640102400
SHIP#S1,DAY#722,S1,722,2021-12-23T00:00:00,10.58,10.42,13.23,-21.22,1640188800
SHIP#S1,DAY#723,S1,723,2021-12-24T00:00:00,11.04,11.35,13.23,-14.19,1640275200
SHIP#S1,DAY#726,S1,726,2021-12-27T00:00:00,11.21,10.62,13.23,-19.7,1640534400
SHIP#S1,DAY#727,S1,727,2021-12-28T00:00:00,11.83,11.53,13.23,-12.83,1640620800
SHIP#S1,DAY#728,S1,728,2021-12-29T00:00:00,11.61,11.33,13.23,-14.34,1640707200
SHIP#S1,DAY#729,S1,729,2021-12-30T00:00:00,11.63,11.38,13.23,-14.0,1640793600
SHIP#S1,DAY#731,S1,731,2022-01-01T00:00:00,11.38,11.66,13.23,-11.88,1640966400
SHIP#S1,DAY#732,S1,732,2022-01-02T00:00:00,11.44,11.72,13.23,-11.43,1641052800
SHIP#S1,DAY#733,S1,733,2022-01-03T00:00:00,11.33,11.08,13.23,-16.27,1641139200
SHIP#S1,DAY#734,S1,734,2022-01-04T00:00:00,11.79,11.94,13.23,-9.77,1641225600
SHIP#S1,DAY#735,S1,735,2022-01-05T00:00:00,11.22,11.41,13.23,-13.73,1641312000
SHIP#S1,DAY#736,S1,736,2022-01-06T00:00:00,11.88,11.83,13.23,-10.59,1641398400
SHIP#S1,DAY#739,S1,739,2022-01-09T00:00:00,11.88,11.24,13.23,-15.03,1641657600
SHIP#S1,DAY#740,S1,740,2022-01-10T00:00:00,11.79,11.52,13.23,-12.91,1641744000
SHIP#S1,DAY#741,S1,741,2022-01-11T00:00:00,11.88,11.01,13.23,-16.77,1641830400
SHIP#S1,DAY#742,S1,742,2022-01-12T00:00:00,12.17,11.56,13.23,-12.61,1641916800
SHIP#S1,DAY#761,S1,761,2022-01-31T00:00:00,12.39,13.02,13.23,-1.63,1643558400
SHIP#S1,DAY#770,S1,770,2022-02-09T00:00:00,14.63,14.72,13.23,11.29,1644336000
SHIP#S1,DAY#772,S1,772,2022-02-11T00:00:00,17.02,17.28,13.23,30.59,1644508800
SHIP#S1,DAY#773,S1,773,2022-02-12T00:00:00,17.13,16.99,13.23,28.4,1644595200
SHIP#S1,DAY#774,S1,774,2022-02-13T00:00:00,17.21,17.47,13.23,32.03,1644681600
SHIP#S1,DAY#778,S1,778,2022-02-17T00:00:00,17.68,17.63,13.23,33.26,1645027200
SHIP#S1,DAY#779,S1,779,2022-02-18T00:00:00,17.29,16.49,13.23,24.66,1645113600
SHIP#S1,DAY#780,S1,780,2022-02-19T00:00:00,16.92,16.52,13.23,24.89,1645200000
SHIP#S1,DAY#781,S1,781,2022-02-20T00:00:00,17.0,16.87,13.23,27.53,1645286400
SHIP#S1,DAY#782,S1,782,2022-02-21T00:00:00,17.48,16.78,13.23,26.85,1645372800
SHIP#S1,DAY#783,S1,783,2022-02-22T00:00:00,17.83,17.22,13.23,30.14,1645459200
SHIP#S1,DAY#784,S1,784,2022-02-23T00:00:00,17.88,17.27,13.23,30.52,1645545600
SHIP#S1,DAY#787,S1,787,2022-02-26T00:00:00,17.6,16.69,13.23,26.17,1645804800
SHIP#S1,DAY#790,S1,790,2022-03-01T00:00:00,14.2,13.88,13.23,4.93,1646064000
SHIP#S1,DAY#795,S1,795,2022-03-06T00:00:00,17.39,17.34,13.23,31.02,1646496000
SHIP#S1,DAY#796,S1,796,2022-03-07T00:00:00,12.54,12.92,13.23,-2.35,1646582400
SHIP#S1,DAY#806,S1,806,2022-03-17T00:00:00,11.92,12.25,13.23,-7.39,1647446400
SHIP#S1,DAY#807,S1,807,2022-03-18T00:00:00,10.88,11.47,13.23,-13.35,1647532800
SHIP#S1,DAY#822,S1,822,2022-04-02T00:00:00,13.42,13.25,13.23,0.11,1648828800
SHIP#S1,DAY#823,S1,823,2022-04-03T00:00:00,12.71,12.48,13.23,-5.71,1648915200
