ship,noon_day,voyage,rpm,stw,daily_foc_vlsfo,expected_foc,speed_loss_pct,fuel_type,hours_full_speed,wind_scale,cargo_on_board,load_condition,maintenance_cycle
S1,99.0,29.0,46.9,11.92,41.04,14.13,15.64,VLSFO,24.0,3.0,108109.0,laden,0
S1,100.0,29.0,39.0,11.17,27.85,12.42,10.06,VLSFO,24.0,3.0,108109.0,laden,0
S1,104.0,29.0,68.0,20.0,119.17,19.9,-0.5,VLSFO,24.0,3.0,86555.0,laden,0
S1,105.0,29.0,64.9,18.92,105.06,19.0,0.42,VLSFO,24.0,4.0,86555.0,laden,0
S1,108.0,29.0,39.2,11.35,29.83,12.42,8.62,VLSFO,23.0,4.0,58860.0,laden,0
S1,108.0,29.0,39.7,11.17,31.81,12.42,10.06,VLSFO,24.0,4.0,58860.0,laden,0
S1,109.0,29.0,39.2,11.35,29.83,12.42,8.62,VLSFO,23.0,4.0,58860.0,laden,0
S1,110.0,29.0,36.9,8.57,22.57,11.77,27.19,VLSFO,23.0,3.0,58860.0,laden,0
S1,119.0,30.0,67.1,19.54,123.38,19.9,1.81,VLSFO,24.0,3.0,86086.0,laden,0
S1,123.0,30.0,41.3,12.13,37.12,12.42,2.33,VLSFO,24.0,3.0,101653.0,laden,0
S1,124.0,30.0,40.8,10.5,28.12,12.42,15.46,VLSFO,24.0,2.0,101653.0,laden,0
S1,127.0,30.0,60.3,17.8,87.91,18.09,1.6,VLSFO,24.0,2.0,117250.0,laden,0
S1,128.0,30.0,62.5,17.78,94.88,18.09,1.71,VLSFO,25.0,0.0,117250.0,laden,0
S1,129.0,30.0,62.3,17.6,93.3,18.09,2.71,VLSFO,24.0,3.0,117250.0,laden,0
S1,129.0,30.0,62.3,17.6,93.3,18.09,2.71,VLSFO,24.0,3.0,117250.0,laden,0
S1,134.0,30.0,70.3,20.0,142.0,20.0,0.0,VLSFO,24.0,3.0,117250.0,laden,0
S1,136.0,30.0,68.4,17.5,131.07,19.9,12.06,VLSFO,25.0,3.0,117250.0,laden,0
S1,144.0,30.0,49.2,14.3,52.77,14.92,4.16,VLSFO,24.0,4.0,87863.0,laden,0
S1,154.0,30.0,37.8,11.37,24.76,11.77,3.4,VLSFO,24.0,2.0,94778.0,laden,0
S1,162.0,30.0,53.1,15.4,62.27,16.0,3.75,VLSFO,24.0,2.0,109843.0,laden,0
S1,162.0,30.0,53.1,15.34,60.59,16.0,4.13,VLSFO,23.0,4.0,109843.0,laden,0
S1,169.0,30.0,47.9,14.16,45.38,14.13,-0.21,VLSFO,24.0,3.0,109843.0,laden,0
S1,170.0,30.0,49.5,14.0,48.36,14.92,6.17,VLSFO,24.0,4.0,109843.0,laden,0
S1,171.0,30.0,53.6,15.4,65.28,16.0,3.75,VLSFO,23.0,3.0,109843.0,laden,0
S1,172.0,30.0,50.2,6.0,58.99,14.92,50.0,VLSFO,22.5,3.0,109843.0,laden,0
S1,175.0,30.0,67.9,19.5,118.85,19.9,2.01,VLSFO,24.0,4.0,87034.0,laden,0
S1,176.0,30.0,63.5,19.0,99.08,19.0,0.0,VLSFO,24.0,4.0,87034.0,laden,0
S1,195.0,31.0,59.1,14.9,85.77,18.26,18.4,VLSFO,24.0,3.0,89270.0,laden,0
S1,196.0,31.0,47.9,11.0,46.11,14.13,22.15,VLSFO,22.5,3.0,89270.0,laden,0
S1,208.0,31.0,68.0,19.2,125.05,19.9,3.52,VLSFO,24.0,4.0,112896.0,laden,0
S1,211.0,31.0,71.0,19.8,131.71,20.0,1.0,VLSFO,25.0,4.0,112896.0,laden,0
S1,214.0,31.0,72.0,19.7,150.54,20.0,1.5,VLSFO,24.0,4.0,112896.0,laden,0
S1,216.0,31.0,48.0,14.2,58.29,14.92,4.83,VLSFO,25.0,4.0,102544.0,laden,0
S1,222.0,31.0,43.6,11.8,40.68,13.29,11.21,VLSFO,24.0,3.0,79024.0,laden,0
S1,231.0,31.0,40.6,10.9,31.47,12.42,12.24,VLSFO,24.0,3.0,94975.0,laden,0
S1,232.0,31.0,37.9,11.3,25.01,11.77,3.99,VLSFO,24.0,2.0,94975.0,laden,0
S1,239.0,31.0,53.1,15.4,61.75,16.0,3.75,VLSFO,24.0,4.0,102267.0,laden,0
S1,239.0,31.0,52.9,15.2,60.99,16.0,5.0,VLSFO,23.0,3.0,102267.0,laden,0
S1,242.0,31.0,52.1,15.4,60.21,16.0,3.75,VLSFO,24.0,4.0,102267.0,laden,0
S1,243.0,31.0,52.1,15.26,58.51,16.0,4.63,VLSFO,23.0,4.0,102267.0,laden,0
S1,244.0,31.0,52.0,15.25,58.43,16.0,4.69,VLSFO,24.0,4.0,102267.0,laden,0
S1,247.0,31.0,36.8,10.83,24.67,11.77,7.99,VLSFO,23.0,3.0,102267.0,laden,0
S1,256.0,31.0,63.0,18.6,100.22,19.0,2.11,VLSFO,24.0,3.0,92786.0,laden,0
S1,278.0,32.0,68.7,19.9,123.14,19.9,0.0,VLSFO,24.0,4.0,80456.0,laden,0
S1,284.0,32.0,59.0,16.67,86.84,18.26,8.71,VLSFO,24.0,3.0,99763.0,laden,0
S1,288.0,32.0,65.9,18.72,113.7,19.0,1.47,VLSFO,25.0,4.0,111072.0,laden,0
S1,290.0,32.0,67.7,18.56,128.87,19.9,6.73,VLSFO,25.0,4.0,111072.0,laden,0
S1,291.0,32.0,67.0,19.0,120.16,19.9,4.52,VLSFO,24.0,3.0,111072.0,laden,0
S1,292.0,32.0,67.3,19.2,118.22,19.9,3.52,VLSFO,25.0,2.0,111072.0,laden,0
S1,293.0,32.0,67.1,19.0,115.92,19.9,4.52,VLSFO,25.0,3.0,111072.0,laden,0
S1,294.0,32.0,66.3,19.25,110.62,19.9,3.27,VLSFO,24.0,4.0,111072.0,laden,0
S1,297.0,32.0,61.1,17.38,84.05,18.09,3.92,VLSFO,24.0,3.0,111072.0,laden,0
S1,299.0,32.0,66.0,18.91,112.29,19.9,4.97,VLSFO,23.0,4.0,106026.0,laden,0
S1,305.0,32.0,51.7,14.46,61.05,16.0,9.62,VLSFO,24.0,4.0,86592.0,laden,0
S1,306.0,32.0,42.5,12.88,34.73,13.29,3.09,VLSFO,24.0,2.0,86592.0,laden,0
S1,316.0,32.0,69.2,20.0,124.25,20.0,0.0,VLSFO,23.0,4.0,89425.0,laden,0
S1,323.0,32.0,61.1,17.5,91.94,18.09,3.26,VLSFO,24.0,3.0,101552.0,laden,0
S1,326.0,32.0,55.1,16.1,70.83,17.21,6.45,VLSFO,23.0,3.0,101552.0,laden,0
S1,327.0,32.0,55.1,16.2,68.13,17.21,5.87,VLSFO,24.0,4.0,101552.0,laden,0
S1,329.0,32.0,65.0,18.2,109.15,19.0,4.21,VLSFO,24.0,4.0,101552.0,laden,0
S1,330.0,32.0,64.8,18.8,111.04,19.0,1.05,VLSFO,23.0,3.0,101552.0,laden,0
S1,332.0,32.0,47.8,13.4,48.5,14.13,5.17,VLSFO,24.0,3.0,101552.0,laden,0
S1,336.0,32.0,66.7,19.7,122.67,19.9,1.01,VLSFO,24.0,3.0,83479.0,laden,0
S1,337.0,32.0,65.4,17.6,119.36,19.0,7.37,VLSFO,24.0,3.0,83479.0,laden,0
S1,341.0,32.0,44.8,10.9,44.99,13.29,17.98,VLSFO,23.0,3.0,72136.0,laden,0
S1,343.0,32.0,38.0,10.5,32.03,11.77,10.79,VLSFO,24.0,3.0,72136.0,laden,0
S1,347.0,33.0,37.6,11.5,26.09,11.77,2.29,VLSFO,24.0,3.0,55941.0,laden,0
S1,357.0,33.0,58.2,15.1,74.9,18.26,17.31,VLSFO,24.0,4.0,105945.0,laden,0
S1,358.0,33.0,47.6,11.1,47.87,14.13,21.44,VLSFO,24.0,4.0,105945.0,laden,0
S1,361.0,33.0,50.6,14.48,54.0,14.92,2.95,VLSFO,25.0,4.0,116112.0,laden,0
S1,362.0,33.0,50.5,14.92,52.72,14.92,0.0,VLSFO,24.0,4.0,116112.0,laden,0
S1,363.0,33.0,47.5,13.92,45.01,14.13,1.49,VLSFO,25.0,4.0,116112.0,laden,0
S1,364.0,33.0,48.9,14.33,48.53,14.92,3.95,VLSFO,24.0,3.0,116112.0,laden,0
S1,365.0,33.0,50.8,14.92,55.32,14.92,0.0,VLSFO,25.0,3.0,116112.0,laden,0
S1,366.0,33.0,49.2,14.33,49.02,14.92,3.95,VLSFO,24.0,4.0,116112.0,laden,0
S1,367.0,33.0,52.7,15.2,59.21,16.0,5.0,VLSFO,25.0,3.0,116112.0,laden,0
S1,368.0,33.0,55.0,15.96,67.19,17.21,7.26,VLSFO,24.0,2.0,116112.0,laden,0
S1,370.0,33.0,53.0,15.44,61.26,16.0,3.5,VLSFO,25.0,4.0,116112.0,laden,0
S1,372.0,33.0,47.8,14.08,47.38,14.13,0.35,VLSFO,24.0,3.0,116112.0,laden,0
S1,375.0,33.0,36.2,10.44,23.75,11.77,11.3,VLSFO,25.0,2.0,104075.0,laden,0
S1,376.0,33.0,30.8,8.88,13.58,11.77,24.55,VLSFO,24.0,2.0,104075.0,laden,0
S1,383.0,33.0,58.4,16.3,98.29,18.26,10.73,VLSFO,23.0,3.0,86484.0,laden,0
S1,392.0,33.0,43.4,13.29,22.77,13.29,0.0,VLSFO,22.8,2.0,86719.0,laden,0
S1,393.0,33.0,43.4,13.21,36.73,13.29,0.6,VLSFO,24.0,1.0,86719.0,laden,0
S1,400.0,33.0,43.3,12.91,35.58,13.29,2.86,VLSFO,23.0,4.0,91926.0,laden,0
S1,401.0,33.0,65.0,19.0,108.48,19.0,0.0,VLSFO,23.0,4.0,92720.0,laden,0
S1,407.0,33.0,65.6,18.7,112.3,19.0,1.58,VLSFO,23.0,4.0,92720.0,laden,0
S1,409.0,33.0,46.2,12.74,45.16,14.13,9.84,VLSFO,23.0,3.0,92720.0,laden,0
S1,410.0,33.0,46.6,13.13,46.33,14.13,7.08,VLSFO,24.0,4.0,92720.0,laden,0
S1,411.0,33.0,36.4,9.54,30.44,11.77,18.95,VLSFO,24.0,3.0,92720.0,laden,0
S1,412.0,33.0,32.3,8.92,20.37,11.77,24.21,VLSFO,24.0,2.0,92720.0,laden,0
S1,415.0,33.0,63.6,18.17,106.02,19.0,4.37,VLSFO,24.0,4.0,92881.0,laden,0
S1,416.0,33.0,63.0,16.75,107.0,19.0,11.84,VLSFO,24.0,4.0,92881.0,laden,0
S1,421.0,33.0,37.1,10.52,25.89,11.77,10.62,VLSFO,23.0,3.0,79556.0,laden,0
S1,422.0,33.0,37.5,10.83,25.41,11.77,7.99,VLSFO,24.0,4.0,79556.0,laden,0
S1,433.0,34.0,59.4,17.67,91.78,18.26,3.23,VLSFO,24.0,2.0,66014.0,laden,0
S1,434.0,34.0,53.0,16.17,67.83,16.0,-1.06,VLSFO,24.0,4.0,66014.0,laden,0
S1,437.0,34.0,36.6,11.0,31.42,11.77,6.54,VLSFO,24.0,4.0,80898.0,laden,0
S1,438.0,34.0,38.0,11.46,26.47,11.77,2.63,VLSFO,24.0,4.0,80898.0,laden,0
S1,439.0,34.0,39.1,11.83,28.0,12.42,4.75,VLSFO,24.0,4.0,80898.0,laden,0
S1,440.0,34.0,37.2,11.13,29.08,11.77,5.44,VLSFO,24.0,3.0,80898.0,laden,0
S1,443.0,34.0,42.9,12.4,36.12,13.29,6.7,VLSFO,25.0,3.0,98313.0,laden,0
S1,445.0,34.0,47.1,13.4,43.63,14.13,5.17,VLSFO,25.0,4.0,98313.0,laden,0
S1,446.0,34.0,41.9,11.83,33.97,12.42,4.75,VLSFO,24.0,3.0,98313.0,laden,0
S1,447.0,34.0,44.5,12.48,38.95,13.29,6.09,VLSFO,25.0,2.0,98313.0,laden,0
S1,448.0,34.0,45.0,13.0,40.1,14.13,8.0,VLSFO,24.0,2.0,98313.0,laden,0
S1,449.0,34.0,42.1,12.28,33.31,13.29,7.6,VLSFO,25.0,2.0,98313.0,laden,0
S1,450.0,34.0,41.9,12.25,33.08,12.42,1.37,VLSFO,24.0,3.0,98313.0,laden,0
S1,451.0,34.0,42.3,12.33,33.3,13.29,7.22,VLSFO,24.0,3.0,98313.0,laden,0
S1,453.0,34.0,42.9,12.52,36.32,13.29,5.79,VLSFO,25.0,3.0,98313.0,laden,0
S1,454.0,34.0,45.1,13.25,39.9,14.13,6.23,VLSFO,24.0,3.0,98313.0,laden,0
S1,456.0,34.0,40.4,11.92,30.5,12.42,4.03,VLSFO,24.0,3.0,98313.0,laden,0
S1,457.0,34.0,39.7,11.46,29.4,12.42,7.73,VLSFO,24.0,4.0,98313.0,laden,0
S1,459.0,34.0,39.5,10.92,31.32,12.42,12.08,VLSFO,25.0,3.0,87146.0,laden,0
S1,460.0,34.0,36.0,10.17,28.68,11.77,13.59,VLSFO,24.0,4.0,87146.0,laden,0
S1,467.0,34.0,45.8,13.13,47.27,14.13,7.08,VLSFO,24.0,4.0,78700.0,laden,0
S1,475.0,34.0,38.0,11.17,26.4,11.77,5.1,VLSFO,24.0,4.0,60275.43,laden,0
S1,476.0,34.0,38.1,11.54,25.6,11.77,1.95,VLSFO,24.0,2.0,60275.43,laden,0
S1,483.0,34.0,37.6,4.04,13.98,11.77,50.0,VLSFO,24.0,3.0,68101.24,laden,0
S1,486.0,34.0,59.9,17.29,88.46,18.26,5.31,VLSFO,24.0,2.0,66810.8,laden,0
S1,486.0,34.0,60.2,17.3,91.09,18.09,4.37,VLSFO,23.0,2.0,66810.8,laden,0
S1,487.0,34.0,60.6,17.75,92.8,18.09,1.88,VLSFO,24.0,3.0,66810.8,laden,0
S1,488.0,34.0,60.3,17.83,92.27,18.09,1.44,VLSFO,23.0,2.0,66810.8,laden,0
S1,489.0,34.0,60.5,17.83,91.44,18.09,1.44,VLSFO,24.0,2.0,64810.8,laden,0
S1,490.0,34.0,60.2,17.74,90.65,18.09,1.93,VLSFO,23.0,4.0,64810.8,laden,0
S1,494.0,34.0,50.4,14.63,59.74,14.92,1.94,VLSFO,24.0,3.0,66810.8,laden,0
S1,494.0,34.0,54.7,15.78,72.01,17.21,8.31,VLSFO,23.0,4.0,66810.8,laden,0
S1,495.0,34.0,46.4,13.17,48.86,14.13,6.79,VLSFO,24.0,4.0,66810.8,laden,0
S1,498.0,34.0,40.7,12.33,31.26,12.42,0.72,VLSFO,24.0,3.0,32058.84,laden,0
S1,499.0,34.0,38.3,11.88,28.64,11.77,-0.93,VLSFO,24.0,3.0,32058.84,laden,0
S1,500.0,34.0,38.1,11.33,32.44,11.77,3.74,VLSFO,24.0,3.0,32058.84,laden,0
S1,501.0,34.0,38.2,10.25,30.64,11.77,12.91,VLSFO,24.0,4.0,32058.84,laden,0
S1,503.0,34.0,37.2,2.38,10.1,11.77,50.0,VLSFO,24.0,2.0,32058.0,laden,0
S1,508.0,34.0,46.5,7.42,27.86,14.16,47.6,VLSFO,24.0,3.0,20396.9,ballast,0
S1,560.0,35.0,56.4,16.4,77.82,17.21,4.71,VLSFO,22.5,4.0,79365.0,laden,0
S1,565.0,35.0,53.2,16.0,60.14,16.0,0.0,VLSFO,24.0,2.0,94751.7,laden,0
S1,566.0,35.0,46.4,14.04,40.24,14.13,0.64,VLSFO,24.0,2.0,94751.7,laden,0
S1,569.0,35.0,49.0,14.33,42.4,14.92,3.95,VLSFO,24.0,3.0,114614.0,laden,0
S1,570.0,35.0,46.5,13.56,40.51,14.13,4.03,VLSFO,25.0,2.0,114614.0,laden,0
S1,571.0,35.0,48.3,14.17,45.6,14.92,5.03,VLSFO,24.0,4.0,114614.0,laden,0
S1,572.0,35.0,46.6,13.6,42.49,14.13,3.75,VLSFO,25.0,4.0,114614.0,laden,0
S1,573.0,35.0,45.6,13.17,37.2,14.13,6.79,VLSFO,24.0,3.0,114614.0,laden,0
S1,579.0,35.0,44.6,12.63,42.23,13.29,4.97,VLSFO,24.0,4.0,114614.0,laden,0
S1,581.0,35.0,45.2,13.12,42.68,14.13,7.15,VLSFO,25.0,3.0,114614.0,laden,0
S1,582.0,35.0,42.0,12.29,32.55,13.29,7.52,VLSFO,24.0,2.0,114614.0,laden,0
S1,585.0,35.0,38.3,10.96,27.6,11.77,6.88,VLSFO,24.0,4.0,98535.9,laden,0
S1,586.0,35.0,39.8,10.88,29.38,12.42,12.4,VLSFO,25.0,4.0,98535.9,laden,0
S1,592.0,35.0,49.9,14.79,48.46,14.92,0.87,VLSFO,24.0,4.0,86876.9,laden,0
S1,593.0,35.0,47.8,14.21,46.32,14.13,-0.57,VLSFO,24.0,2.0,86876.9,laden,0
S1,602.0,35.0,45.3,14.13,37.44,14.13,0.0,VLSFO,22.5,3.0,77102.0,laden,0
S1,603.0,35.0,39.9,12.42,28.2,12.42,0.0,VLSFO,24.0,2.0,77102.0,laden,0
S1,608.0,35.0,42.0,12.83,28.8,13.29,3.46,VLSFO,23.0,3.0,89642.0,laden,0
S1,610.0,35.0,57.0,17.26,72.39,18.26,5.48,VLSFO,23.0,4.0,79913.0,laden,0
S1,617.0,35.0,59.5,18.44,83.94,18.26,-0.99,VLSFO,23.0,4.0,79913.0,laden,0
S1,618.0,35.0,59.1,18.26,79.74,18.26,0.0,VLSFO,23.0,2.0,79913.0,laden,0
S1,623.0,35.0,60.1,18.63,79.2,18.09,-2.99,VLSFO,24.0,2.0,58803.0,laden,0
S1,627.0,35.0,44.1,12.54,41.3,13.29,5.64,VLSFO,24.0,2.0,48625.0,laden,0
S1,636.0,36.0,41.4,12.4,32.1,12.42,0.16,VLSFO,25.0,2.0,68273.0,laden,0
S1,649.0,36.0,56.7,16.58,67.46,17.21,3.66,VLSFO,24.0,3.0,110479.0,laden,0
S1,650.0,36.0,52.0,14.75,61.2,16.0,7.81,VLSFO,24.0,3.0,110479.0,laden,0
S1,653.0,36.0,56.0,15.5,68.74,17.21,9.94,VLSFO,24.0,4.0,110479.0,laden,0
S1,656.0,36.0,51.3,14.16,53.51,16.0,11.5,VLSFO,25.0,3.0,110479.0,laden,0
S1,657.0,36.0,51.1,14.63,53.62,16.0,8.56,VLSFO,24.0,2.0,110479.0,laden,0
S1,658.0,36.0,51.3,15.04,52.36,16.0,6.0,VLSFO,25.0,3.0,110479.0,laden,0
S1,659.0,36.0,51.4,15.08,50.62,16.0,5.75,VLSFO,24.0,4.0,110479.0,laden,0
S1,662.0,36.0,48.0,13.96,41.3,14.92,6.43,VLSFO,24.0,2.0,110479.0,laden,0
S1,668.0,36.0,45.4,13.17,38.24,14.13,6.79,VLSFO,24.0,3.0,110479.0,laden,0
S1,669.0,36.0,45.9,13.33,38.6,14.13,5.66,VLSFO,24.0,3.0,110479.0,laden,0
S1,670.0,36.0,45.0,13.2,35.02,14.13,6.58,VLSFO,25.0,3.0,110479.0,laden,0
S1,673.0,36.0,65.2,18.79,110.74,19.0,1.11,VLSFO,24.0,4.0,109339.0,laden,0
S1,696.0,36.0,35.9,9.46,23.72,11.77,19.63,VLSFO,24.0,4.0,70421.0,laden,0
S1,697.0,36.0,36.0,10.71,20.39,11.77,9.01,VLSFO,24.0,4.0,70421.0,laden,0
S1,700.0,36.0,45.1,13.08,40.58,14.13,7.43,VLSFO,24.0,2.0,73851.0,laden,0
S1,701.0,36.0,45.2,13.54,39.1,14.13,4.18,VLSFO,24.0,3.0,73851.0,laden,0
S1,702.0,36.0,45.0,13.58,39.11,14.13,3.89,VLSFO,24.0,3.0,73851.0,laden,0
S1,704.0,36.0,42.0,12.67,31.06,13.29,4.67,VLSFO,24.0,4.0,73851.0,laden,0
S1,705.0,36.0,42.0,12.46,30.92,13.29,6.25,VLSFO,24.0,2.0,73851.0,laden,0
S1,706.0,36.0,42.0,12.29,31.74,13.29,7.52,VLSFO,24.0,2.0,73851.0,laden,0
S1,707.0,36.0,42.0,12.13,32.66,13.29,8.73,VLSFO,24.0,3.0,73851.0,laden,0
S1,709.0,36.0,41.9,11.83,33.24,12.42,4.75,VLSFO,24.0,3.0,73851.0,laden,0
S1,710.0,36.0,42.0,12.0,32.52,13.29,9.71,VLSFO,24.0,4.0,73851.0,laden,0
S1,711.0,36.0,41.7,11.75,32.61,12.42,5.39,VLSFO,24.0,4.0,73851.0,laden,0
S1,712.0,36.0,42.0,12.08,33.11,13.29,9.1,VLSFO,24.0,3.0,73851.0,laden,0
S1,713.0,36.0,42.0,12.04,33.65,13.29,9.41,VLSFO,24.0,3.0,73851.0,laden,0
S1,714.0,36.0,42.0,11.46,34.72,13.29,13.77,VLSFO,24.0,4.0,73851.0,laden,0
S1,717.0,36.0,42.7,12.25,36.09,13.29,7.83,VLSFO,24.0,4.0,73851.0,laden,0
S1,721.0,36.0,38.0,10.57,28.53,11.77,10.2,VLSFO,23.0,1.0,73851.0,laden,0
S1,722.0,36.0,38.0,10.58,27.71,11.77,10.11,VLSFO,24.0,3.0,73851.0,laden,0
S1,723.0,36.0,38.1,11.04,27.75,11.77,6.2,VLSFO,24.0,4.0,73851.0,laden,0
S1,726.0,36.0,39.1,11.21,28.78,12.42,9.74,VLSFO,24.0,2.0,73851.0,laden,0
S1,727.0,36.0,39.9,11.83,28.6,12.42,4.75,VLSFO,24.0,3.0,73851.0,laden,0
S1,728.0,36.0,38.7,11.61,27.2,11.77,1.36,VLSFO,23.0,3.0,73851.0,laden,0
S1,729.0,36.0,38.1,11.63,25.1,11.77,1.19,VLSFO,24.0,3.0,73851.0,laden,0
S1,731.0,36.0,37.9,11.38,25.21,11.77,3.31,VLSFO,24.0,4.0,73851.0,laden,0
S1,732.0,36.0,38.0,11.44,25.19,11.77,2.8,VLSFO,23.0,4.0,73851.0,laden,0
S1,733.0,36.0,38.4,11.33,26.17,11.77,3.74,VLSFO,24.0,3.0,73851.0,laden,0
S1,734.0,36.0,39.9,11.79,27.8,12.42,5.07,VLSFO,24.0,4.0,73851.0,laden,0
S1,735.0,36.0,37.8,11.22,23.92,11.77,4.67,VLSFO,23.0,3.0,73851.0,laden,0
S1,736.0,36.0,38.7,11.88,25.86,11.77,-0.93,VLSFO,24.0,4.0,73851.0,laden,0
S1,739.0,36.0,39.1,11.88,24.18,12.42,4.35,VLSFO,24.0,2.0,70549.0,laden,0
S1,740.0,36.0,39.0,11.79,24.64,12.42,5.07,VLSFO,24.0,3.0,70549.0,laden,0
S1,741.0,36.0,39.1,11.88,24.11,12.42,4.35,VLSFO,24.0,1.0,70549.0,laden,0
S1,742.0,36.0,39.1,12.17,23.29,12.42,2.01,VLSFO,24.0,2.0,70549.0,laden,0
S1,761.0,36.0,42.5,12.39,19.68,13.29,6.77,LSMGO,23.0,3.0,31109.0,laden,0
S1,770.0,37.0,45.7,14.63,37.86,14.13,-3.54,VLSFO,24.0,3.0,61328.0,laden,0
S1,772.0,37.0,55.8,17.02,66.82,17.21,1.1,VLSFO,22.5,4.0,78562.0,laden,0
S1,773.0,37.0,55.9,17.13,65.69,17.21,0.46,VLSFO,24.0,3.0,78562.0,laden,0
S1,774.0,37.0,55.1,17.21,61.83,17.21,0.0,VLSFO,24.0,4.0,78562.0,laden,0
S1,778.0,37.0,59.6,17.68,81.31,18.26,3.18,VLSFO,25.0,4.0,116450.0,laden,0
S1,779.0,37.0,60.0,17.29,80.9,18.09,4.42,VLSFO,24.0,3.0,116450.0,laden,0
S1,780.0,37.0,59.2,16.92,77.66,18.26,7.34,VLSFO,25.0,4.0,116450.0,laden,0
S1,781.0,37.0,58.8,17.0,79.04,18.26,6.9,VLSFO,24.0,4.0,116450.0,laden,0
S1,782.0,37.0,61.9,17.48,91.87,18.09,3.37,VLSFO,25.0,3.0,116450.0,laden,0
S1,783.0,37.0,59.7,17.83,89.2,18.26,2.35,VLSFO,24.0,3.0,116450.0,laden,0
S1,784.0,37.0,62.0,17.88,88.06,18.09,1.16,VLSFO,25.0,3.0,11658.0,ballast,0
S1,787.0,37.0,60.8,17.6,86.6,18.09,2.71,VLSFO,25.0,2.0,116450.0,laden,0
S1,790.0,37.0,48.4,14.2,45.91,14.92,4.83,VLSFO,25.0,3.0,102934.0,laden,0
S1,795.0,37.0,57.3,17.39,77.8,18.26,4.76,VLSFO,23.0,3.0,90558.0,laden,0
